CEC2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Mean,Variance
11,2472.882222,2215.753878,2463.517905,2455.419518,2064.587032,2370.847312,2289.845555,2576.009752,2357.295192,2350.94616,2195.842197,2549.552817,2550.807629,2555.462433,2493.301286,2591.211391,2714.361765,2139.483883,2407.761846,2483.620509,2033.244435,1912.093999,2524.82606,2480.146996,2244.485762,2556.760872,2250.552534,2509.717153,2455.639626,2326.332833,2718.692361,2591.688906,2467.679728,2825.994429,2436.489833,2713.699735,2542.479947,2642.998462,2731.510077,2864.707401,2576.249752,2683.260628,2362.571052,2645.242755,2323.72408,2601.63353,2513.414952,2615.104338,2343.35073,2549.552817,2466.847121,39788.66424
12,1201.064704,1200.774462,1200.847505,1201.653139,1201.411722,1201.512245,1201.382451,1201.207052,1201.017056,1201.008053,1201.260076,1201.10414,1201.441538,1201.11369,1201.063353,1201.42124,1201.282157,1201.130502,1201.543339,1201.795083,1201.423879,1201.191327,1200.890001,1201.192809,1201.431325,1200.881121,1201.558957,1201.258057,1200.887318,1200.945238,1201.429248,1201.30893,1201.096641,1201.246316,1201.471295,1201.544963,1201.363062,1201.37719,1201.329082,1201.163353,1201.219635,1200.945863,1200.902481,1201.257024,1201.333477,1200.860465,1201.368998,1201.358712,1201.274921,1201.10414,1201.232987,0.05581977
13,1300.145351,1300.130723,1300.117772,1300.112191,1300.132223,1300.076809,1300.121577,1300.120783,1300.117846,1300.101177,1300.106127,1300.151173,1300.124319,1300.124193,1300.153961,1300.1793,1300.101379,1300.127541,1300.129188,1300.092915,1300.095884,1300.108341,1300.097778,1300.153133,1300.1482,1300.115213,1300.135391,1300.134182,1300.099706,1300.130712,1300.109766,1300.134776,1300.091853,1300.101433,1300.154501,1300.160124,1300.171288,1300.102384,1300.085999,1300.135708,1300.110073,1300.12308,1300.090253,1300.148574,1300.151607,1300.0993,1300.089389,1300.053391,1300.142472,1300.151173,1300.121845,0.000657703
14,1400.214865,1400.201996,1400.21552,1400.234379,1400.297582,1400.269074,1400.403336,1400.296525,1400.282602,1400.219093,1400.221296,1400.256549,1400.27395,1400.210502,1400.24609,1400.312986,1400.135298,1400.154309,1400.265105,1400.229331,1400.221937,1400.247595,1400.20647,1400.250253,1400.246003,1400.202385,1400.250065,1400.210415,1400.313018,1400.246858,1400.241027,1400.341392,1400.232531,1400.220702,1400.317068,1400.210267,1400.163523,1400.262189,1400.251044,1400.285675,1400.180199,1400.188777,1400.328685,1400.189028,1400.347926,1400.199334,1400.196932,1400.317093,1400.244786,1400.256549,1400.246202,0.002871321
15,1501.147296,1500.822082,1500.839234,1500.718155,1501.00043,1500.806588,1501.203076,1500.616271,1500.900446,1501.038695,1500.67865,1500.54823,1500.628256,1501.245843,1500.606281,1501.769292,1501.27321,1500.814419,1501.600702,1501.018086,1500.826076,1501.077452,1501.910596,1500.800423,1501.0727,1501.194986,1500.80816,1501.194997,1501.560813,1501.351333,1500.576788,1500.658215,1501.248337,1500.769786,1500.784755,1501.94667,1500.580243,1501.164996,1501.389762,1500.712779,1500.665359,1501.283723,1500.900369,1500.666333,1501.412756,1500.888977,1502.026169,1500.77002,1501.294129,1500.54823,1501.027223,0.144503608
16,1603.585272,1602.995297,1603.482348,1603.193712,1603.665401,1603.657202,1602.929266,1603.169052,1603.466634,1603.375391,1603.322644,1603.098189,1603.673235,1603.558188,1603.056565,1603.229606,1603.636704,1602.431819,1603.721204,1603.346797,1603.484178,1603.630223,1603.148525,1603.827612,1602.77677,1603.207588,1602.770657,1603.477617,1603.406315,1602.951098,1603.006777,1603.588572,1603.407098,1603.267544,1603.571557,1602.702079,1603.574932,1603.570668,1603.764886,1603.489234,1603.14001,1603.33477,1603.544048,1603.394387,1602.793982,1603.209309,1603.19196,1603.69928,1603.390207,1603.098189,1603.320292,0.097247088
17,10472.05787,8949.416069,12525.41932,5874.297761,19658.27232,27024.91302,18173.24531,8019.175411,10142.99182,10406.83569,4160.523702,19605.91682,5595.461966,20357.46966,9293.803649,5046.536602,6740.012285,8137.054632,20679.08351,5195.006053,36283.28684,7603.183278,23289.28756,30375.30648,11042.97982,14163.1818,6296.228432,10425.16559,11573.94467,22877.71319,15139.88944,8969.235761,7525.075194,15099.59471,5690.664925,11376.59287,8413.077025,10384.41336,9529.494564,9893.171488,13535.88345,7502.183313,4288.085569,12557.63763,4024.06841,16690.41168,6328.520562,18237.39179,17003.28533,19605.91682,12635.6473,50732442.64
18,78525.53404,5600.874372,5259.303956,18994.39586,24731.9095,23466.41951,26198.56169,7473.967204,9103.093597,17376.68956,15238.38525,7566.869616,112135.3423,47704.41713,13285.96187,16411.72753,10191.66162,14026.43069,19640.04658,8472.715455,15673.09094,21422.14641,13498.21649,3394.620769,4150.379093,37412.7741,8295.268454,73896.20835,67521.64458,80420.53155,27912.88869,8395.611905,3365.022706,9443.524997,4651.621169,20552.47353,11707.6047,22039.47589,15361.8869,12824.70841,9707.091361,6067.19244,8166.77328,11666.50315,6295.923785,29840.04923,8426.097607,9591.775527,13413.6273,7566.869616,21081.71821,527636691.7
19,1902.481791,1902.383363,1902.247979,1902.606103,1902.060932,1902.311762,1902.22361,1902.414374,1901.908838,1902.385822,1904.494476,1903.435357,1902.163135,1902.789853,1902.293972,1902.104628,1903.128867,1903.976425,1903.991262,1903.03801,1902.53768,1902.454066,1902.503019,1901.941154,1902.183462,1902.197973,1902.524366,1901.614047,1902.055326,1901.738268,1902.243047,1902.730438,1902.391496,1902.039824,1902.182686,1902.211731,1903.500874,1901.919646,1903.202086,1902.218063,1902.261089,1902.374495,1902.091417,1902.365235,1902.176385,1903.820844,1903.878415,1902.3304,1902.178558,1903.435357,1902.55484,0.403315338
20,2065.916418,2173.365539,2354.044494,2444.208098,2615.37327,2161.213217,2607.060042,2371.788028,2318.160012,2158.995239,2242.945619,2112.080968,2084.185155,2126.095524,2498.191349,2164.380033,2245.915774,2434.42509,2693.609636,2287.576419,2221.434922,2105.507475,2154.165526,2291.442704,2260.225927,2242.447725,2232.334196,2159.569239,2429.103421,2193.077268,2688.178056,2521.637864,2068.443697,2166.066692,2723.164323,2147.442994,3197.885328,2114.943765,2709.91887,2348.001773,2182.420477,2257.444756,2168.362544,2206.10698,2309.460962,2207.223901,2632.145862,2304.220746,2810.083833,2112.080968,2326.481454,68045.59862
